# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-s" "1" "-t" "gene" "-M" "-g" "gene_id" "-a" "./genomic.gtf" "-o" "counts3.txt" "37D1_control1_sorted.bam" "37D2_control2_sorted.bam" "37D3_control3_sorted.bam" "46D1_elevtemp_sorted.bam" "46D2_elevtemp2_sorted.bam" "46D3_elevtemp3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	37D1_control1_sorted.bam	37D2_control2_sorted.bam	37D3_control3_sorted.bam	46D1_elevtemp_sorted.bam	46D2_elevtemp2_sorted.bam	46D3_elevtemp3_sorted.bam
PA0092	NC_002516.2	113022	113306	-	285	1	0	0	0	0	0
PA0093	NC_002516.2	113303	114595	-	1293	6	2	2	0	2	0
PA0094	NC_002516.2	114611	115045	-	435	0	2	2	0	0	4
PA0095	NC_002516.2	115299	117524	+	2226	96	41	38	15	2	20
PA0096	NC_002516.2	117552	118001	+	450	1	0	0	0	0	0
PA0097	NC_002516.2	117931	119130	+	1200	0	0	0	0	0	0
PA0098	NC_002516.2	119127	120164	+	1038	0	0	2	0	0	0
PA0099	NC_002516.2	120164	121324	+	1161	108	80	57	10	11	14
PA0100	NC_002516.2	121346	122266	+	921	8	12	11	1	2	9
PA0101	NC_002516.2	122248	123495	+	1248	2	0	0	0	0	2
PA0102	NC_002516.2	123871	124599	+	729	0	4	0	0	5	12
PA0103	NC_002516.2	124810	126381	+	1572	0	0	0	0	0	0
PA0103a	NC_002516.2	126368	127006	-	639	4	0	4	4	4	6
PA0105	NC_002516.2	127378	128502	+	1125	2	2	0	4	4	12
PA0106	NC_002516.2	128512	130104	+	1593	0	0	0	2	0	2
PA0107	NC_002516.2	130115	130669	+	555	2	0	0	0	0	0
PA0108	NC_002516.2	130680	131567	+	888	0	0	0	0	0	0
PA0109	NC_002516.2	131583	131792	-	210	1	1	0	0	0	2
PA0110	NC_002516.2	131808	132602	+	795	0	0	0	2	1	0
PA0111	NC_002516.2	132577	133155	+	579	0	0	0	0	1	0
PA0112	NC_002516.2	133220	134293	+	1074	0	0	0	0	2	0
PA0113	NC_002516.2	134319	135233	+	915	0	0	0	0	2	0
PA0114	NC_002516.2	135259	135894	+	636	16	7	6	2	6	4
PA0115	NC_002516.2	135934	136386	-	453	0	0	0	0	0	2
PA0116	NC_002516.2	136518	136991	+	474	0	0	0	2	0	0
PA0117	NC_002516.2	137248	137976	+	729	0	0	0	4	7	6
PA0118	NC_002516.2	138001	138588	+	588	0	0	0	0	0	2
PA0119	NC_002516.2	138818	140167	+	1350	2	4	0	4	2	10
PA0120	NC_002516.2	140216	140902	+	687	0	0	0	0	2	4
PA0121	NC_002516.2	141003	141737	+	735	1	4	0	0	4	0
PA0122	NC_002516.2	141917	142327	+	411	27	22	8	13	2	2
PA0123	NC_002516.2	142359	143267	-	909	0	2	0	0	2	0
PA0124	NC_002516.2	143567	143848	-	282	4	0	0	0	3	4
PA0125	NC_002516.2	143845	144072	-	228	0	2	0	4	0	0
PA0126	NC_002516.2	144248	144868	-	621	0	0	2	0	2	2
PA0127	NC_002516.2	144969	145469	+	501	0	0	0	0	1	0
PA0128	NC_002516.2	145542	145883	+	342	34	18	26	18	33	71
PA0129	NC_002516.2	145965	147392	-	1428	2	0	0	0	0	0
PA0130	NC_002516.2	147561	149054	-	1494	24	20	19	32	25	36
PA0131	NC_002516.2	149138	149425	-	288	3	5	7	8	13	16
PA0132	NC_002516.2	149425	150771	-	1347	6	2	8	12	6	11
PA0133	NC_002516.2	150906	151823	+	918	0	0	0	2	3	0
PA0134	NC_002516.2	151936	153306	-	1371	0	0	0	0	0	0
PA0135	NC_002516.2	153696	153836	+	141	0	0	0	0	0	0
PA0136	NC_002516.2	154417	155988	+	1572	0	0	0	0	0	0
PA0137	NC_002516.2	155988	157085	+	1098	0	0	0	0	0	0
PA0138	NC_002516.2	157108	158034	+	927	0	0	0	0	0	0
PA0139	NC_002516.2	158199	158762	+	564	172	92	93	117	70	111
PA0140	NC_002516.2	158907	160472	+	1566	1	4	2	19	4	6
PA0141	NC_002516.2	160552	161448	-	897	51	26	14	14	26	22
PA0142	NC_002516.2	161906	163255	+	1350	0	0	0	0	0	0
PA0143	NC_002516.2	163363	164415	+	1053	2	0	2	0	0	0
PA0144	NC_002516.2	164443	165069	-	627	0	0	0	0	0	0
PA0145	NC_002516.2	165219	165737	-	519	0	0	0	2	0	0
PA0146	NC_002516.2	165976	167073	+	1098	0	0	0	2	0	2
PA0147	NC_002516.2	167146	168108	+	963	0	0	2	0	0	1
PA0148	NC_002516.2	168213	169163	+	951	2	0	0	0	0	10
PA0149	NC_002516.2	169361	169906	+	546	0	0	0	0	0	0
PA0150	NC_002516.2	169903	170898	+	996	0	0	0	0	0	0
PA0151	NC_002516.2	171047	173434	+	2388	0	0	0	0	2	0
PA0152	NC_002516.2	173811	174638	+	828	0	0	0	0	0	0
PA0153	NC_002516.2	174773	175492	+	720	0	0	0	0	0	0
PA0154	NC_002516.2	175503	176108	+	606	0	0	0	2	0	0
PA0155	NC_002516.2	176315	177154	+	840	0	0	2	2	0	2
PA0156	NC_002516.2	177307	178458	+	1152	4	0	2	3	6	2
PA0157	NC_002516.2	178455	179525	+	1071	0	0	0	0	0	0
PA0158	NC_002516.2	179522	182569	+	3048	13	8	15	2	6	12
PA0159	NC_002516.2	182768	183706	+	939	2	0	2	0	2	3
PA0160	NC_002516.2	183822	184007	+	186	2	0	0	0	0	1
PA0162	NC_002516.2	184594	185928	+	1335	4	0	2	2	2	6
PA0163	NC_002516.2	185957	186754	-	798	0	0	0	0	0	0
PA0164	NC_002516.2	186832	188448	+	1617	6	0	0	2	0	2
PA0165	NC_002516.2	189120	189956	+	837	8	4	20	2	12	6
PA0166	NC_002516.2	190198	191604	+	1407	0	0	0	0	0	2
PA0167	NC_002516.2	191697	192362	+	666	2	6	2	4	2	14
PA0168	NC_002516.2	192368	192958	+	591	0	0	0	2	0	0
PA0169	NC_002516.2	192965	193672	-	708	0	0	0	0	0	0
PA0170	NC_002516.2	193799	194179	-	381	0	0	2	0	0	0
PA0171	NC_002516.2	194206	194748	-	543	2	4	2	16	9	16
PA0172	NC_002516.2	194757	196748	-	1992	2	4	3	2	2	0
PA0173	NC_002516.2	197011	198060	-	1050	0	0	0	0	1	0
PA0174	NC_002516.2	198080	198682	-	603	0	0	0	0	0	0
PA0175	NC_002516.2	198688	199530	-	843	0	0	0	0	0	2
PA0176	NC_002516.2	199600	201639	-	2040	0	2	4	2	0	2
PA0177	NC_002516.2	201675	202160	-	486	0	0	0	0	0	2
PA0178	NC_002516.2	202147	204066	-	1920	4	2	2	2	0	6
PA0179	NC_002516.2	204094	204459	-	366	5	2	10	6	0	4
PA0180	NC_002516.2	204657	205829	-	1173	2	2	0	4	0	0
PA0181	NC_002516.2	206022	206954	-	933	0	0	0	0	0	0
PA0182	NC_002516.2	207071	207823	+	753	0	0	0	0	0	0
PA0183	NC_002516.2	207923	209533	-	1611	1	0	2	2	0	0
PA0184	NC_002516.2	209621	210460	-	840	0	0	1	0	0	1
PA0185	NC_002516.2	210457	212073	-	1617	2	0	1	0	0	0
PA0186	NC_002516.2	212340	213401	+	1062	0	0	0	4	0	2
PA0187	NC_002516.2	213819	214634	+	816	0	0	0	2	2	2
PA0188	NC_002516.2	214631	215512	+	882	0	0	0	0	0	0
PA0189	NC_002516.2	215550	216908	-	1359	0	0	2	4	1	0
PA0190	NC_002516.2	217156	217881	+	726	0	0	0	0	0	0
PA0191	NC_002516.2	217905	218822	-	918	0	0	0	2	0	0
PA0192	NC_002516.2	219172	221544	+	2373	0	0	0	0	2	2
PA0193	NC_002516.2	221585	222487	+	903	0	0	0	0	0	0
PA0194	NC_002516.2	222555	223454	+	900	0	0	0	0	0	0
PA0195	NC_002516.2	224101	225219	+	1119	0	0	2	3	5	8
PA0195.1	NC_002516.2	225295	225603	+	309	0	0	0	0	0	0
PA0196	NC_002516.2	225603	227039	+	1437	0	0	0	0	0	0
PA0197	NC_002516.2	227382	228194	+	813	0	0	0	0	0	0
PA0198	NC_002516.2	228223	228942	+	720	0	0	2	1	0	0
PA0199	NC_002516.2	228944	229345	+	402	0	0	0	0	2	0
PA0200	NC_002516.2	229526	229738	-	213	320	308	212	196	200	224
PA0201	NC_002516.2	229954	230535	+	582	12	4	4	4	2	18
PA0202	NC_002516.2	230543	232000	-	1458	0	0	0	0	0	0
PA0203	NC_002516.2	232066	233100	-	1035	0	0	0	0	0	0
PA0204	NC_002516.2	233123	233932	-	810	0	0	0	0	0	0
PA0205	NC_002516.2	233929	234849	-	921	0	0	2	0	0	0
PA0206	NC_002516.2	234875	235987	-	1113	0	0	0	0	4	0
PA0207	NC_002516.2	236218	237111	+	894	0	0	0	4	2	6
PA0208	NC_002516.2	237232	238896	+	1665	0	0	0	0	2	2
PA0209	NC_002516.2	238896	239777	+	882	0	0	0	0	0	0
PA0210	NC_002516.2	239779	240078	+	300	0	0	0	0	0	0
PA0211	NC_002516.2	240071	240934	+	864	0	0	0	0	0	0
PA0212	NC_002516.2	240931	241737	+	807	0	0	0	0	0	0
PA0213	NC_002516.2	241753	242445	+	693	0	0	0	0	0	0
PA0214	NC_002516.2	242442	243374	+	933	0	0	0	0	0	0
PA0215	NC_002516.2	243431	243835	+	405	0	0	0	0	0	0
PA0216	NC_002516.2	243841	244605	+	765	1	0	0	0	0	0
PA0217	NC_002516.2	244690	245619	-	930	0	0	2	8	6	12
PA0218	NC_002516.2	245948	246868	-	921	0	0	2	0	2	0
PA0219	NC_002516.2	247219	248709	+	1491	0	0	0	0	0	0
PA0220	NC_002516.2	248767	250200	+	1434	0	0	0	0	0	0
PA0221	NC_002516.2	250231	251613	+	1383	0	0	0	0	2	0
PA0222	NC_002516.2	251777	252835	+	1059	0	0	0	0	0	0
PA0223	NC_002516.2	252913	253794	-	882	0	2	2	10	9	10
PA0224	NC_002516.2	253854	254636	-	783	0	0	0	0	0	0
PA0225	NC_002516.2	254791	255330	+	540	5	3	0	3	3	4
PA0226	NC_002516.2	255481	256332	+	852	2	0	4	2	2	2
PA0227	NC_002516.2	256329	257111	+	783	0	2	0	2	0	2
PA0228	NC_002516.2	257108	258313	+	1206	0	0	0	0	0	0
PA0229	NC_002516.2	258463	259761	+	1299	0	0	2	0	2	4
PA0230	NC_002516.2	259784	261163	+	1380	0	0	0	0	0	0
PA0231	NC_002516.2	261179	261970	+	792	0	0	0	0	4	1
PA0232	NC_002516.2	261981	262382	+	402	2	0	2	2	0	1
PA0233	NC_002516.2	262557	263498	+	942	0	0	0	2	0	1
PA0234	NC_002516.2	263689	264522	+	834	2	2	0	4	4	6
PA0235	NC_002516.2	264964	266310	-	1347	0	0	2	0	0	0
PA0236	NC_002516.2	266616	267395	+	780	0	0	0	0	0	0
PA0237	NC_002516.2	267638	268681	+	1044	0	0	0	0	0	0
PA0238	NC_002516.2	268704	269519	+	816	0	0	0	0	0	0
PA0239	NC_002516.2	269669	270547	+	879	0	0	0	0	0	1
PA0240	NC_002516.2	270573	271838	-	1266	0	0	0	0	0	0
PA0241	NC_002516.2	271904	273229	-	1326	0	2	0	6	4	2
PA0242	NC_002516.2	273775	275679	+	1905	0	0	0	2	4	0
PA0243	NC_002516.2	275772	276440	+	669	0	0	0	0	4	0
PA0244	NC_002516.2	276480	277334	-	855	0	0	0	0	0	0
PA0245	NC_002516.2	277331	277777	-	447	0	0	0	0	0	0
PA0246	NC_002516.2	277894	279399	-	1506	0	0	0	0	2	0
PA0247	NC_002516.2	279574	280758	-	1185	0	0	2	0	0	0
PA0248	NC_002516.2	280936	281802	+	867	0	0	0	0	0	2
PA0249	NC_002516.2	281799	282245	-	447	0	2	0	0	2	4
PA0250	NC_002516.2	282323	282757	-	435	0	0	0	0	0	0
PA0251	NC_002516.2	282912	283553	-	642	0	0	0	2	0	0
PA0252	NC_002516.2	283818	284105	-	288	0	0	0	0	0	0
PA0253	NC_002516.2	284197	284673	-	477	2	2	2	2	0	2
PA0254	NC_002516.2	284714	286204	-	1491	4	0	4	20	10	11
PA0255	NC_002516.2	286338	287024	-	687	0	0	1	0	0	9
PA0256	NC_002516.2	287188	288120	-	933	10	4	2	10	4	10
PA0257	NC_002516.2	288384	289175	-	792	4	2	0	7	3	5
PA0258	NC_002516.2	289205	289390	-	186	9	5	13	16	6	8
PA0259	NC_002516.2	289562	291004	-	1443	12	4	2	7	6	6
PA0260	NC_002516.2	291154	293304	-	2151	35	27	20	19	19	24
PA0261	NC_002516.2	293301	293798	-	498	0	4	2	0	2	0
PA0262	NC_002516.2	293802	296861	-	3060	16	14	12	8	6	10
PA0263	NC_002516.2	297043	297561	-	519	11	8	4	2	0	2
PA0263.1	NC_002516.2	298816	298892	-	77	0	0	0	0	0	0
PA0265	NC_002516.2	299522	300973	+	1452	16	8	2	2	10	3
PA0266	NC_002516.2	301218	302498	+	1281	6	8	6	10	0	12
PA0267	NC_002516.2	302824	304023	+	1200	0	2	0	0	2	0
PA0268	NC_002516.2	304177	305598	-	1422	0	0	2	0	2	0
PA0269	NC_002516.2	305725	306162	+	438	0	0	0	0	0	0
PA0270	NC_002516.2	306174	306581	+	408	0	0	0	0	0	0
PA0271	NC_002516.2	306615	306899	+	285	0	0	0	0	2	0
PA0272	NC_002516.2	306896	307828	-	933	0	0	0	0	0	0
PA0273	NC_002516.2	307878	309092	-	1215	0	0	0	0	0	0
PA0274	NC_002516.2	309255	310025	-	771	0	0	0	0	0	0
PA0275	NC_002516.2	310134	310820	-	687	2	0	0	2	1	0
PA0276	NC_002516.2	310896	311411	+	516	0	0	0	0	2	0
PA0277	NC_002516.2	311451	312209	-	759	34	18	16	0	0	2
PA0278	NC_002516.2	312381	313133	-	753	0	0	0	0	0	0
PA0279	NC_002516.2	313227	313925	+	699	0	0	0	0	0	0
PA0280	NC_002516.2	313938	314927	-	990	2	0	1	0	0	1
PA0281	NC_002516.2	314931	315800	-	870	5	6	0	4	2	3
PA0282	NC_002516.2	315811	316629	-	819	7	12	2	2	3	10
PA0283	NC_002516.2	316791	317789	-	999	43	16	14	4	11	27
PA0284	NC_002516.2	317966	318148	-	183	54	34	14	2	4	28
PA0285	NC_002516.2	318312	320594	-	2283	2	0	4	0	6	0
PA0286	NC_002516.2	320766	321944	+	1179	24	12	4	6	16	18
PA0287	NC_002516.2	322175	323560	+	1386	0	2	2	2	2	4
PA0288	NC_002516.2	323616	324572	+	957	0	0	2	2	2	0
PA0289	NC_002516.2	324625	325587	+	963	0	2	0	0	0	0
PA0290	NC_002516.2	325700	326671	+	972	2	6	0	0	0	2
PA0291	NC_002516.2	327284	328666	+	1383	123	86	63	28	34	39
PA0292	NC_002516.2	328801	329907	-	1107	2	0	2	12	12	17
PA0293	NC_002516.2	329993	330871	-	879	6	6	6	76	46	77
PA0294	NC_002516.2	331034	331699	-	666	0	2	0	0	0	4
PA0295	NC_002516.2	331762	332823	-	1062	8	12	10	2	6	6
PA0296	NC_002516.2	333079	334455	-	1377	22	10	8	18	22	20
PA0297	NC_002516.2	334734	335486	+	753	5	0	4	7	4	19
PA0298	NC_002516.2	335527	336885	+	1359	53	33	52	56	66	91
PA0299	NC_002516.2	336951	338321	+	1371	59	38	19	39	48	41
PA0300	NC_002516.2	338437	339540	+	1104	59	29	30	13	31	31
PA0301	NC_002516.2	339959	341056	+	1098	17	9	7	12	10	2
PA0302	NC_002516.2	341111	342265	+	1155	26	11	1	10	7	3
PA0303	NC_002516.2	342292	343173	+	882	10	0	4	2	12	4
PA0304	NC_002516.2	343256	344125	+	870	2	2	6	10	12	8
PA0305	NC_002516.2	344303	346690	-	2388	0	0	3	0	0	4
PA0306	NC_002516.2	346801	347853	+	1053	2	0	0	2	0	0
PA0306a	NC_002516.2	347832	348335	-	504	67	42	24	14	10	22
PA0307	NC_002516.2	348440	349051	-	612	3	0	0	0	0	0
PA0308	NC_002516.2	349050	350069	+	1020	1	0	0	0	0	0
PA0309	NC_002516.2	350089	350841	-	753	0	0	2	2	0	2
PA0310	NC_002516.2	350890	351588	+	699	6	4	0	0	4	10
PA0311	NC_002516.2	351610	352164	-	555	0	0	0	0	0	0
PA0312	NC_002516.2	352430	352924	+	495	4	0	0	0	0	0
PA0313	NC_002516.2	352927	353619	-	693	0	0	0	0	0	0
PA0314	NC_002516.2	353691	354461	-	771	0	0	0	0	0	0
PA0315	NC_002516.2	354754	355191	+	438	9	8	7	5	9	14
PA0316	NC_002516.2	355248	356477	-	1230	14	2	8	10	2	11
PA0317	NC_002516.2	356681	358075	+	1395	4	0	4	2	8	6
PA0318	NC_002516.2	358167	358832	+	666	2	2	0	2	4	0
PA0319	NC_002516.2	358931	359920	+	990	2	0	6	2	2	0
PA0320	NC_002516.2	359982	360332	+	351	0	0	2	2	0	0
PA0321	NC_002516.2	360413	361447	-	1035	0	0	0	0	0	0
PA0322	NC_002516.2	361463	362857	-	1395	0	0	0	0	0	0
PA0323	NC_002516.2	363278	364321	-	1044	0	2	0	4	0	2
PA0324	NC_002516.2	364369	365157	-	789	0	0	0	0	0	0
PA0325	NC_002516.2	365154	366083	-	930	0	0	0	0	2	0
PA0326	NC_002516.2	366080	367129	-	1050	0	0	2	0	4	0
PA0327	NC_002516.2	367457	368422	+	966	2	0	2	0	0	2
PA0328	NC_002516.2	368462	370405	-	1944	0	0	0	0	0	0
PA0329	NC_002516.2	370706	371038	-	333	15	12	8	3	10	15
PA0330	NC_002516.2	371162	371833	-	672	6	5	4	5	7	8
PA0331	NC_002516.2	372091	373605	+	1515	4	0	0	6	6	12
PA0332	NC_002516.2	373725	374192	+	468	0	0	0	2	0	2
PA0333	NC_002516.2	374243	375514	+	1272	0	0	0	0	0	0
PA0334	NC_002516.2	375951	377189	-	1239	0	0	0	0	2	0
PA0335	NC_002516.2	377239	377892	-	654	4	0	0	0	0	0
PA0336	NC_002516.2	378096	378575	+	480	26	18	10	15	10	16
PA0337	NC_002516.2	378598	380877	+	2280	24	9	12	35	26	42
PA0338	NC_002516.2	380903	382033	+	1131	0	0	0	1	0	0
PA0339	NC_002516.2	382037	382792	-	756	2	0	2	0	0	0
PA0340	NC_002516.2	382914	383717	+	804	0	0	0	0	0	0
PA0341	NC_002516.2	383727	384527	+	801	2	2	0	0	7	2
PA0342	NC_002516.2	384733	385527	+	795	4	4	8	0	4	4
PA0343	NC_002516.2	385554	386351	-	798	0	6	0	2	6	14
PA0344	NC_002516.2	386386	387765	-	1380	0	0	0	0	0	2
PA0345	NC_002516.2	387758	389143	-	1386	2	0	0	0	0	0
PA0346	NC_002516.2	389334	389696	+	363	0	0	0	0	0	0
PA0347	NC_002516.2	389733	390884	-	1152	0	0	0	2	0	2
PA0348	NC_002516.2	391094	392188	+	1095	0	0	0	0	0	0
PA0349	NC_002516.2	392185	393225	+	1041	0	0	0	0	0	0
PA0350	NC_002516.2	393308	393814	+	507	0	5	2	0	0	2
PA0351	NC_002516.2	393830	394303	-	474	0	2	4	4	4	2
PA0352	NC_002516.2	394442	395827	-	1386	0	0	0	0	0	0
PA0353	NC_002516.2	396057	397895	-	1839	16	10	2	6	6	11
PA0354	NC_002516.2	398224	399420	-	1197	0	0	0	2	0	0
PA0355	NC_002516.2	399493	400032	-	540	4	0	0	2	0	0
PA0356	NC_002516.2	400248	401072	+	825	8	9	2	4	2	8
PA0357	NC_002516.2	401131	401943	+	813	0	2	3	1	1	4
PA0358	NC_002516.2	402020	402598	+	579	10	4	1	3	7	4
PA0359	NC_002516.2	402681	403025	+	345	6	4	5	8	6	8
PA0360	NC_002516.2	403295	404281	+	987	8	10	4	4	2	2
PA0361	NC_002516.2	404386	406119	-	1734	4	0	0	0	2	4
PA0362	NC_002516.2	406247	406498	-	252	11	8	6	4	15	4
PA0363	NC_002516.2	406619	407098	-	480	0	0	0	0	2	2
PA0364	NC_002516.2	407250	408845	-	1596	0	0	0	0	2	0
PA0365	NC_002516.2	408901	409449	-	549	0	0	2	0	0	0
PA0366	NC_002516.2	409504	410934	-	1431	4	2	0	4	0	2
PA0367	NC_002516.2	411224	411871	+	648	0	2	0	2	2	0
PA0367a	NC_002516.2	411856	412266	-	411	0	0	2	0	0	1
PA0368	NC_002516.2	412329	413327	-	999	6	0	2	0	0	7
PA0369	NC_002516.2	413364	413930	-	567	0	1	0	0	0	0
PA0370	NC_002516.2	413933	414529	-	597	0	2	0	0	1	0
PA0371	NC_002516.2	414529	416016	-	1488	4	2	4	8	2	0
PA0372	NC_002516.2	416009	417406	-	1398	8	4	2	6	4	2
PA0373	NC_002516.2	417527	418894	+	1368	25	8	12	6	18	23
PA0374	NC_002516.2	418891	419562	+	672	5	9	4	6	5	17
